hop,match_date,from,to,tournament,round,score,result,source,corrob,flags,year,wikipedia,atp_archive
253,1976-09-20,Jimmy Connors,Brian Gottfried,Los Angeles,QF,6-6 RET,RET,backbone,S+TML+DH+UTS,result:RET early-era,1976,https://en.wikipedia.org/w/index.php?search=1976%20Los%20Angeles%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201976%20Los%20Angeles
277,1977-08-31,Bjorn Borg,Dick Stockton,US Open,R16,3-6 6-4 1-0 RET,RET,backbone,S+TML+DH+UTS,result:RET early-era,1977,https://en.wikipedia.org/w/index.php?search=1977%20US%20Open%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201977%20US%20Open
280,1977-09-26,Guillermo Vilas,Ilie Nastase,Aix en Provence,F,6-1 7-5 RET,RET,backbone,S+TML+DH+UTS,result:RET early-era,1977,https://en.wikipedia.org/w/index.php?search=1977%20Aix%20en%20Provence%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201977%20Aix%20en%20Provence
283,1978-01-23,Bjorn Borg,Roscoe Tanner,Philadelphia WCT,QF,6-4 7-6,PLAYED,backbone,S+TML+DH+UTS,schedule-conflict early-era,1978,https://en.wikipedia.org/w/index.php?search=1978%20Philadelphia%20WCT%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201978%20Philadelphia%20WCT
298,1978-12-26,Tim Wilkison,Allan Stone,Australian Open,R64,6-3 6-2 6-3,PLAYED,backbone,S+DH+UTS,schedule-conflict early-era,1978,https://en.wikipedia.org/w/index.php?search=1978%20Australian%20Open%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201978%20Australian%20Open
303,1979-02-12,Bjorn Borg,Bruce Manson,Rancho Mirage,R64,6-7 7-5 6-2,PLAYED,backbone,S+TML+DH+UTS,schedule-conflict early-era,1979,https://en.wikipedia.org/w/index.php?search=1979%20Rancho%20Mirage%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201979%20Rancho%20Mirage
330,1980-08-11,Bjorn Borg,Ivan Lendl,Montreal / Toronto,F,4-6 5-4 RET,RET,backbone,S+TML+DH+UTS,result:RET early-era,1980,https://en.wikipedia.org/w/index.php?search=1980%20Montreal%20%2F%20Toronto%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201980%20Montreal%20%2F%20Toronto
359,1981-11-02,Vincent Van Patten,Chris Lewis,Hong Kong,R16,6-1 2-6 6-1,PLAYED,backbone,S+TML,source-disagree early-era,1981,https://en.wikipedia.org/w/index.php?search=1981%20Hong%20Kong%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201981%20Hong%20Kong
360,1981-11-02,Chris Lewis,Tim Gullikson,Hong Kong,QF,7-6 6-3,PLAYED,backbone,S+TML,source-disagree early-era,1981,https://en.wikipedia.org/w/index.php?search=1981%20Hong%20Kong%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201981%20Hong%20Kong
365,1981-11-16,Robert Vant Hof,Chris Lewis,Bangkok,R32,6-2 6-3,PLAYED,backbone,S+TML,source-disagree early-era,1981,https://en.wikipedia.org/w/index.php?search=1981%20Bangkok%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201981%20Bangkok
366,1981-11-16,Chris Lewis,Anders Jarryd,Bangkok,R16,6-1 6-2,PLAYED,backbone,S+TML,source-disagree early-era,1981,https://en.wikipedia.org/w/index.php?search=1981%20Bangkok%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201981%20Bangkok
519,1990-01-15,Stefan Edberg,Ivan Lendl,Australian Open,F,4-6 7-6 5-2 RET,RET,backbone,S+TML+DH+UTS,result:RET,1990,https://en.wikipedia.org/w/index.php?search=1990%20Australian%20Open%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201990%20Australian%20Open
540,1990-10-29,Boris Becker,Stefan Edberg,Paris Masters,F,3-3 RET,RET,backbone,S+TML+DH+UTS,result:RET,1990,https://en.wikipedia.org/w/index.php?search=1990%20Paris%20Masters%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201990%20Paris%20Masters
562,1991-05-13,Alberto Mancini,Emilio Sanchez,Rome Masters,F,6-3 6-1 3-0 RET,RET,backbone,S+TML+UTS,result:RET,1991,https://en.wikipedia.org/w/index.php?search=1991%20Rome%20Masters%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201991%20Rome%20Masters
676,1995-01-16,Aaron Krickstein,Andre Agassi,Australian Open,SF,6-4 6-4 3-0 RET,RET,backbone,S+TML+UTS,result:RET,1995,https://en.wikipedia.org/w/index.php?search=1995%20Australian%20Open%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201995%20Australian%20Open
695,1995-10-30,Guy Forget,Daniel Vacek,Paris Masters,R16,5-2 RET,RET,backbone,S+TML+UTS,result:RET,1995,https://en.wikipedia.org/w/index.php?search=1995%20Paris%20Masters%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201995%20Paris%20Masters
831,1998-11-02,Richard Krajicek,Marc Rosset,Paris Masters,R32,6-4 5-7 2-5 RET,RET,backbone,S+TML+UTS,result:RET,1998,https://en.wikipedia.org/w/index.php?search=1998%20Paris%20Masters%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201998%20Paris%20Masters
860,1999-08-16,Pete Sampras,Vincent Spadea,Indianapolis,QF,6-4 3-6 RET,RET,backbone,S+TML+UTS,result:RET,1999,https://en.wikipedia.org/w/index.php?search=1999%20Indianapolis%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201999%20Indianapolis
933,2001-05-28,Andy Roddick,Lleyton Hewitt,Roland Garros,R32,6-7(6) 6-4 2-2 RET,RET,backbone,S+TML+UTS,result:RET,2001,https://en.wikipedia.org/w/index.php?search=2001%20Roland%20Garros%20tennis,https://www.google.com/search?q=site%3Aatptour.com%202001%20Roland%20Garros
939,2001-07-30,Tommy Haas,Andrei Pavel,Canada Masters,SF,6-4 5-0 RET,RET,backbone,S+TML+UTS,result:RET,2001,https://en.wikipedia.org/w/index.php?search=2001%20Canada%20Masters%20tennis,https://www.google.com/search?q=site%3Aatptour.com%202001%20Canada%20Masters
944,2001-08-13,Gustavo Kuerten,Patrick Rafter,Indianapolis,F,4-2 RET,RET,backbone,S+TML+UTS,result:RET,2001,https://en.wikipedia.org/w/index.php?search=2001%20Indianapolis%20tennis,https://www.google.com/search?q=site%3Aatptour.com%202001%20Indianapolis
